content_id,client_id,content_type,main_intent,impressions_90d,clicks_90d,clicks_last_30d,clicks_prev_30d,ctr,avg_position,days_since_last_update,model_score,baseline_score,rank,reason_codes,recommended_action
content_9ac61c04930e,client_8527a891e2,keyword article,informational,1828,4,0,1,0.22,5.6,104,0.9609132742861639,3.755762324195433,1,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_eb3b2c3bbc34,client_f369cb89fc,keyword article,informational,580,0,0,0,0.0,1.3,20,0.9605128306797096,0.0,2,visible in search,Investigate
content_9e8671965fff,client_f369cb89fc,keyword article,informational,1322,1,0,1,0.08,2.3,20,0.9512720745693264,3.593828582057478,3,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_9234f5075e7a,client_f369cb89fc,keyword article,informational,1305,5,0,2,0.38,5.7,20,0.9472515930138344,4.7831495398909185,4,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_29884c0f9255,client_8527a891e2,keyword article,informational,428,0,0,0,0.0,12.3,102,0.9462643411214395,0.0,5,visible in search,Investigate
content_f6bf66378677,client_f369cb89fc,keyword article,informational,817,0,0,0,0.0,5.7,20,0.9418187773734706,0.0,6,visible in search; meaningful impression volume,Investigate
content_f55fd2d8ed04,client_4e07408562,keyword article,informational,2237,2,0,0,0.09,1.3,104,0.9390751263423333,0.0,7,visible in search; meaningful impression volume,Investigate
content_769c5991e2f6,client_f369cb89fc,keyword article,informational,404,2,0,1,0.5,12.5,20,0.9346325750731418,3.0019435335532694,8,recent click decline; visible in search,Investigate
content_b23d650634c6,client_f369cb89fc,keyword article,informational,380,0,0,0,0.0,7.0,20,0.9338919752941243,0.0,9,visible in search,Investigate
content_eb58f272b967,client_f369cb89fc,keyword article,informational,263,0,0,0,0.0,7.8,20,0.9329587712451373,0.0,10,visible in search,Investigate
content_9bbf99b4dc21,client_434c9b5ae5,keyword article,commercial,1397,2,0,0,0.14,6.7,8,0.9318268306842173,0.0,11,visible in search; meaningful impression volume,Investigate
